Age,Annual_Income,CIBIL_Score,Home_Ownership,Employment_Length,Loan_Intent,Loan_Amount,Loan_Status,Outstanding_Debts,Average_Monthly_Expenditure,Frequency_of_Card_Usage,Bill_Payment_Timeliness,Late_Payment_Penalties,Number_of_Missed_Payments,ATM_Withdrawal_Frequency,Preferred_Payment_Method,Insurance_Coverage,Financial_Literacy_Level,Number_of_Credit_Cards_Owned,Number_of_Bank_Accounts,Risk_Appetite,Savings_Habits,Venmo Visa Credit Card,Synchrony Premier World Mastercard,CareCredit Credit Card,PayPal Cashback World Mastercard,Ashley Advantage Credit Card,Synchrony HOME Credit Card,Synchrony Car Care Credit Card,Verizon Visa Card
56,989999,632,Rent,8,Home,454872,Defaulted,456009,115029,16,On Time,0,0,0,Debit Card,0,Low,1,5,Medium,Average,0,0,0,0,0,0,0,0
69,1946772,765,Rent,9,Credit Card,276502,Paid,268262,26788,34,On Time,0,8,5,Cash,1,Medium,2,5,High,Average,0,1,0,0,0,0,0,0
46,1275203,723,Own,24,Car,146513,Defaulted,266971,58074,22,Late,0,3,9,Credit Card,0,Low,3,8,Medium,Poor,0,0,0,1,0,1,1,1
32,369640,612,Rent,9,Credit Card,197472,Defaulted,149892,94535,41,Late,1,0,17,Credit Card,0,High,4,8,High,Good,1,0,0,1,0,0,0,1
60,2982497,822,Own,19,Car,818424,Paid,61589,96965,44,Late,1,4,15,Credit Card,1,Low,4,2,Medium,Poor,0,1,0,1,0,1,1,1
25,2377096,723,Rent,8,Car,965935,Defaulted,487275,81784,23,Late,1,1,8,UPI,0,Medium,2,4,Low,Poor,0,0,0,0,0,0,1,0
38,1343944,474,Rent,2,Personal,214505,Defaulted,106066,12111,38,On Time,0,5,14,UPI,1,Medium,4,7,Medium,Average,0,0,0,0,0,0,0,0
56,2724106,673,Own,10,Personal,224920,Defaulted,75523,52679,30,Late,0,1,2,Debit Card,1,High,3,1,Low,Good,0,0,0,0,0,1,0,0
36,748492,536,Own,3,Education,585589,Defaulted,230315,113567,9,Late,1,8,11,Cash,1,High,1,5,Medium,Average,0,0,0,0,0,1,0,0
40,1265219,742,Rent,27,Personal,644193,Defaulted,407541,43916,33,Late,0,7,14,UPI,0,Low,3,8,High,Good,0,0,0,0,0,0,0,0
28,532705,337,Rent,10,Credit Card,434708,Paid,330579,90689,15,On Time,0,1,15,Cash,1,Medium,2,4,High,Average,0,0,0,0,0,0,0,0
28,258126,838,Own,31,Education,782453,Defaulted,53351,146269,47,On Time,1,4,13,Credit Card,1,Medium,1,4,Medium,Good,1,0,0,1,0,1,0,1
